family,n,bitflip_rate,shots,method,metric,mean,ci_low,ci_high,circuits
SU2-HaarU4-brickwork,8,0.05,1000,aligned_crossfit,expected_scalar_directional_grad2,0.002260577585342363,0.002218611848744999,0.002305466292531508,16
SU2-HaarU4-brickwork,8,0.05,1000,aligned_crossfit,estimated_parameter_gradient_norm2,2.6041853783144653,2.5546808692678105,2.6573283585499503,16
SU2-HaarU4-brickwork,8,0.05,1000,aligned_crossfit,finite_difference_snr_mean,0.021159575382192115,0.020290683242561683,0.02204224735914301,16
SU2-HaarU4-brickwork,8,0.05,1000,aligned_crossfit,linearized_shots_for_snr1,2215313.191787607,2171536.413966045,2258056.8917874154,16
SU2-HaarU4-brickwork,8,0.05,1000,physical,actual_retention,0.06340253924854515,0.06200735557860424,0.06481503865752195,16
SU2-HaarU4-brickwork,8,0.05,1000,physical,rho,2.0209559385473783,1.977135638370617,2.066256610483584,16
SU2-HaarU4-brickwork,8,0.05,1000,physical,expected_scalar_directional_grad2,0.001422873740700475,0.0013917472078477456,0.0014552041595812786,16
SU2-HaarU4-brickwork,8,0.05,1000,physical,estimated_parameter_gradient_norm2,1.6391505492870209,1.603527572299745,1.677670659412297,16
SU2-HaarU4-brickwork,8,0.05,1000,physical,finite_difference_snr_mean,0.01685938977635109,0.01618493838637104,0.01754566314520668,16
SU2-HaarU4-brickwork,8,0.05,1000,physical,linearized_shots_for_snr1,3521457.9416170693,3442458.979656333,3598413.4843507325,16
SU2-HaarU4-brickwork,8,0.05,1000,random_rank,actual_retention,0.03078494164247436,0.030049339422820023,0.031635116829831035,16
SU2-HaarU4-brickwork,8,0.05,1000,random_rank,rho,0.981270014853872,0.9578737099277869,1.009701835828431,16
SU2-HaarU4-brickwork,8,0.05,1000,random_rank,expected_scalar_directional_grad2,0.0006870414903101688,0.0006705056701017235,0.0007055351313629475,16
SU2-HaarU4-brickwork,8,0.05,1000,random_rank,estimated_parameter_gradient_norm2,0.7914717968373706,0.7725046093903751,0.8129050735394534,16
SU2-HaarU4-brickwork,8,0.05,1000,random_rank,finite_difference_snr_mean,0.011614936072835475,0.011095870921499044,0.012177238800754454,16
SU2-HaarU4-brickwork,8,0.05,1000,random_rank,linearized_shots_for_snr1,7296314.381061388,7109117.547888742,7468140.232711988,16
SU2-HaarU4-brickwork,8,0.05,10000,aligned_crossfit,actual_retention,0.10017106912776091,0.0982817498182156,0.10218352098718353,16
SU2-HaarU4-brickwork,8,0.05,10000,aligned_crossfit,rho,3.192952828447381,3.1328413278178777,3.258786443041223,16
SU2-HaarU4-brickwork,8,0.05,10000,aligned_crossfit,expected_scalar_directional_grad2,0.002260577585342363,0.0022161021659834468,0.002306846080872733,16
