family,n,shots,method,metric,bitflip_rate,noisy_over_clean,ci_low,ci_high,paired_circuits
SU2-HaarU4-brickwork,10,10000,physical,actual_retention,0.01,1.3356525394376568,1.3309389928952533,1.340601915023061,16
SU2-HaarU4-brickwork,10,10000,physical,actual_retention,0.03,1.9439063739274645,1.9343909589668904,1.9537838772417413,16
SU2-HaarU4-brickwork,10,10000,physical,actual_retention,0.05,2.670295543872039,2.6563787366629894,2.684746899143341,16
SU2-HaarU4-brickwork,10,10000,physical,expected_scalar_directional_grad2,0.01,0.9599881161038597,0.9599119507169256,0.9600614210267824,16
SU2-HaarU4-brickwork,10,10000,physical,expected_scalar_directional_grad2,0.03,0.8825573278527356,0.8823598092693709,0.8827522809720759,16
SU2-HaarU4-brickwork,10,10000,physical,expected_scalar_directional_grad2,0.05,0.8085412832045604,0.8082578837419282,0.8088242299090351,16
SU2-HaarU4-brickwork,10,10000,physical,finite_difference_snr_mean,0.01,0.9798133532616667,0.9796968908293241,0.9799427128278109,16
SU2-HaarU4-brickwork,10,10000,physical,finite_difference_snr_mean,0.03,0.9395094531969249,0.9391816149179446,0.9398703679826006,16
SU2-HaarU4-brickwork,10,10000,physical,finite_difference_snr_mean,0.05,0.8992865260069938,0.8987763220626416,0.8998559297507824,16
SU2-HaarU4-brickwork,10,10000,random_rank,actual_retention,0.01,1.0031246350725456,0.997839892197052,1.008377647593449,16
SU2-HaarU4-brickwork,10,10000,random_rank,actual_retention,0.03,1.004616362849428,0.9965995639111084,1.0127557065954373,16
SU2-HaarU4-brickwork,10,10000,random_rank,actual_retention,0.05,1.0050734490992945,0.9953694293384552,1.0150167907363747,16
SU2-HaarU4-brickwork,10,10000,random_rank,expected_scalar_directional_grad2,0.01,0.7208032764103349,0.7162235305691368,0.7256371822646863,16
SU2-HaarU4-brickwork,10,10000,random_rank,expected_scalar_directional_grad2,0.03,0.4556705085063629,0.4514972693619304,0.45992877753795597,16
SU2-HaarU4-brickwork,10,10000,random_rank,expected_scalar_directional_grad2,0.05,0.30375118424155717,0.3006698143181737,0.3069662596867629,16
SU2-HaarU4-brickwork,10,10000,random_rank,finite_difference_snr_mean,0.01,0.8457573455029603,0.839482651920011,0.8512268222949237,16
SU2-HaarU4-brickwork,10,10000,random_rank,finite_difference_snr_mean,0.03,0.6697670347611121,0.6623413783611863,0.676340486994919,16
SU2-HaarU4-brickwork,10,10000,random_rank,finite_difference_snr_mean,0.05,0.5457466433002313,0.538345618376934,0.5523407253932332,16
SU2-HaarU4-brickwork,12,100,aligned_crossfit,actual_retention,0.01,1.0151284550989519,1.010606751662867,1.0197578298509198,16
SU2-HaarU4-brickwork,12,100,aligned_crossfit,actual_retention,0.03,1.0347174518510887,1.0267669939700275,1.042399773646765,16
SU2-HaarU4-brickwork,12,100,aligned_crossfit,actual_retention,0.05,1.0642734736494723,1.0517628833272352,1.0761629144341243,16
SU2-HaarU4-brickwork,12,100,aligned_crossfit,expected_scalar_directional_grad2,0.01,0.6932800014365854,0.6900284817393648,0.6965901327311685,16
SU2-HaarU4-brickwork,12,100,aligned_crossfit,expected_scalar_directional_grad2,0.03,0.41388303575314106,0.4104752348131322,0.41718896744791445,16
SU2-HaarU4-brickwork,12,100,aligned_crossfit,expected_scalar_directional_grad2,0.05,0.2641150301697781,0.2610041665047277,0.2671359414485938,16
SU2-HaarU4-brickwork,12,100,aligned_crossfit,finite_difference_snr_mean,0.01,0.8255732032800794,0.8193709727297597,0.8318459556042942,16
SU2-HaarU4-brickwork,12,100,aligned_crossfit,finite_difference_snr_mean,0.03,0.6347953747362957,0.629427073328316,0.6401943083208076,16
SU2-HaarU4-brickwork,12,100,aligned_crossfit,finite_difference_snr_mean,0.05,0.5079750192556891,0.50248473869541,0.5136645850884124,16
SU2-HaarU4-brickwork,12,100,physical,actual_retention,0.01,1.4057705698988838,1.4035127685047706,1.4080665028591088,16
SU2-HaarU4-brickwork,12,100,physical,actual_retention,0.03,2.2072410429988767,2.2029451634722417,2.211745514794202,16
SU2-HaarU4-brickwork,12,100,physical,actual_retention,0.05,3.259634004841022,3.2534466033299503,3.265872067690652,16
SU2-HaarU4-brickwork,12,100,physical,expected_scalar_directional_grad2,0.01,0.9602868332595103,0.96025230161997,0.9603230485596905,16
SU2-HaarU4-brickwork,12,100,physical,expected_scalar_directional_grad2,0.03,0.8833136777194873,0.8832233721082006,0.8834096437530445,16
SU2-HaarU4-brickwork,12,100,physical,expected_scalar_directional_grad2,0.05,0.8095998112152575,0.8094608202166865,0.8097414995503694,16
SU2-HaarU4-brickwork,12,100,physical,finite_difference_snr_mean,0.01,0.979948721330744,0.9798780040726637,0.9800206812449106,16
SU2-HaarU4-brickwork,12,100,physical,finite_difference_snr_mean,0.03,0.9398655404498536,0.9396683614898951,0.9400668100551292,16
SU2-HaarU4-brickwork,12,100,physical,finite_difference_snr_mean,0.05,0.899804998245661,0.8994844087510635,0.9001169686858942,16
SU2-HaarU4-brickwork,12,100,random_rank,actual_retention,0.01,1.0059948734842912,1.0007362390106707,1.0111512683716892,16
SU2-HaarU4-brickwork,12,100,random_rank,actual_retention,0.03,1.009119012467691,1.0009692844874838,1.0170173146871595,16
SU2-HaarU4-brickwork,12,100,random_rank,actual_retention,0.05,1.0107572016392752,1.0005642975052886,1.020585676535953,16
SU2-HaarU4-brickwork,12,100,random_rank,expected_scalar_directional_grad2,0.01,0.6870694582394282,0.6834245675794703,0.6907486456299347,16
SU2-HaarU4-brickwork,12,100,random_rank,expected_scalar_directional_grad2,0.03,0.4036325350810644,0.40031850991520934,0.4070999580836486,16
SU2-HaarU4-brickwork,12,100,random_rank,expected_scalar_directional_grad2,0.05,0.2508168272848586,0.24821151925214854,0.25335250803592796,16
SU2-HaarU4-brickwork,12,100,random_rank,finite_difference_snr_mean,0.01,0.8309195175842888,0.8241601550336776,0.8375171334266335,16
SU2-HaarU4-brickwork,12,100,random_rank,finite_difference_snr_mean,0.03,0.6377167118795927,0.6298286745859146,0.6459356969636243,16
SU2-HaarU4-brickwork,12,100,random_rank,finite_difference_snr_mean,0.05,0.5033219334683255,0.49501910742427646,0.5119787664766645,16
SU2-HaarU4-brickwork,12,1000,aligned_crossfit,actual_retention,0.01,1.0151284550989519,1.0105470817948594,1.0196180514194082,16
SU2-HaarU4-brickwork,12,1000,aligned_crossfit,actual_retention,0.03,1.0347174518510887,1.0266982950540404,1.0422682848548952,16
SU2-HaarU4-brickwork,12,1000,aligned_crossfit,actual_retention,0.05,1.0642734736494723,1.0520393687986902,1.0763667735587636,16
SU2-HaarU4-brickwork,12,1000,aligned_crossfit,expected_scalar_directional_grad2,0.01,0.6932800014365854,0.6900412405379025,0.6964940905566419,16
SU2-HaarU4-brickwork,12,1000,aligned_crossfit,expected_scalar_directional_grad2,0.03,0.41388303575314106,0.41043057250813,0.41721474056747576,16
SU2-HaarU4-brickwork,12,1000,aligned_crossfit,expected_scalar_directional_grad2,0.05,0.2641150301697781,0.2610099063499498,0.2672210248377242,16
SU2-HaarU4-brickwork,12,1000,aligned_crossfit,finite_difference_snr_mean,0.01,0.8255732032800859,0.8192934889073379,0.8318804054771834,16
SU2-HaarU4-brickwork,12,1000,aligned_crossfit,finite_difference_snr_mean,0.03,0.6347953747363039,0.6292782333716409,0.6401464847722089,16
SU2-HaarU4-brickwork,12,1000,aligned_crossfit,finite_difference_snr_mean,0.05,0.5079750192556963,0.5022301638332498,0.5136162863101154,16
SU2-HaarU4-brickwork,12,1000,physical,actual_retention,0.01,1.4057705698988838,1.403520675710675,1.408117771910631,16
SU2-HaarU4-brickwork,12,1000,physical,actual_retention,0.03,2.2072410429988767,2.202943107896518,2.2116936129694964,16
SU2-HaarU4-brickwork,12,1000,physical,actual_retention,0.05,3.259634004841022,3.2533999153700983,3.2659194169428525,16
