profile,family,n,depth_factor,tangent_count_used,k,factor,reference,comparison,metric,paired_circuits,mean_paired_difference,ci95_low,ci95_high,fraction_positive_differences
v2_basis,U1-RZ-XY-line,8,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,12,-0.10243487362401232,-0.12228511621811228,-0.08304433128134217,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,enhancement,12,11.703640217395629,8.07257591617029,15.245450002417277,1.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,actual_retention,12,-0.19709061551016868,-0.2081751962790801,-0.18639667102047655,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,12,7.010168783705442,6.393348974473187,7.684498251102807,1.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,12,-0.003859562025913301,-0.004180231449261563,-0.003583245837151466,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,12,0.017893226471748697,0.014212725136216114,0.02171887702467835,1.0
v2_basis,U1-RZ-XY-line,12,6.0,128,1,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,12,-0.18810335863558783,-0.19885720963592665,-0.17736558911811645,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,enhancement,12,4.817037696892884,4.185549584060517,5.401868597663921,1.0
v2_basis,U1-RZ-XY-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,actual_retention,12,-0.31232407546156066,-0.3249517193508706,-0.30025992018313646,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,deff_pairwise,12,7.010168783705442,6.398473976996063,7.678440344097531,1.0
v2_basis,U1-RZ-XY-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,pairwise_purity,12,-0.003859562025913301,-0.004180517336084524,-0.0035830203831843854,0.0
v2_basis,U1-RZ-XY-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,Ffull_over_FQ_mean,12,0.017893226471748697,0.014276965771299738,0.021612716595663026,1.0
v2_basis,U1-RZ-XY-line,12,6.0,128,2,measurement_basis,Z,RANDOM_LOCAL,physical_minus_rank_baseline,12,-0.2609491592979121,-0.2738329726635172,-0.24876619651787465,0.0
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,X,enhancement,10,-0.03045309649615825,-0.0643216572180935,0.006088610878387079,0.3
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,X,actual_retention,10,-0.0009553912626246001,-0.0020399315161695997,0.00016837152259961512,0.3
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,X,deff_pairwise,10,-0.8289269542350326,-1.8127336400340446,0.15102591541413032,0.4
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,X,pairwise_purity,10,2.8627811921449858e-05,-5.936714341518181e-06,6.261813484455032e-05,0.6
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,X,Ffull_over_FQ_mean,10,0.0026967544477454254,0.0010904644604708149,0.004202831912324493,0.9
v2_basis,SU2-CNOT-line,8,6.0,128,1,measurement_basis,Z,X,physical_minus_rank_baseline,10,-0.00095539126262456,-0.0020380805494266845,0.00016929661807241686,0.3
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,X,enhancement,10,0.00031020419881439,-0.01838690691966184,0.021681387529050886,0.5
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,X,actual_retention,10,4.379353395025931e-05,-0.0025572490632086433,0.003099302155421321,0.5
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,X,deff_pairwise,10,-0.8289269542350326,-1.817837434845396,0.17696881388345695,0.4
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,X,pairwise_purity,10,2.8627811921449858e-05,-6.095488150166453e-06,6.178401999934607e-05,0.6
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,X,Ffull_over_FQ_mean,10,0.0026967544477454254,0.001093691431290803,0.004212482435787849,0.9
v2_basis,SU2-CNOT-line,8,6.0,128,2,measurement_basis,Z,X,physical_minus_rank_baseline,10,4.3793533950263e-05,-0.002601051042702053,0.0031424700400973803,0.5
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,X,enhancement,10,-0.030218421049376266,-0.05711615534941844,-0.0046482750195345444,0.2
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,X,actual_retention,10,-8.855214959522999e-05,-0.00016484512689438757,-1.3885624920939977e-05,0.2
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,X,deff_pairwise,10,2.378517919064143,-5.374429496404044,9.612883910595956,0.6
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,X,pairwise_purity,10,-2.9272788114899406e-06,-1.0371333888619487e-05,4.9469357685161e-06,0.4
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,X,Ffull_over_FQ_mean,10,0.0020665500565680227,0.0013608632993824814,0.0027509780438973366,1.0
v2_basis,SU2-CNOT-line,12,6.0,128,1,measurement_basis,Z,X,physical_minus_rank_baseline,10,-8.85521495952166e-05,-0.00016396666029877438,-1.2759965359933819e-05,0.2
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,X,enhancement,10,-0.008089229603114867,-0.018138586124006293,0.002842299858512126,0.3
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,X,actual_retention,10,-0.00015408056386883895,-0.00034645849849513846,5.110526161624886e-05,0.3
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,X,deff_pairwise,10,2.378517919064143,-5.433803578557991,9.453196044167129,0.6
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,X,pairwise_purity,10,-2.9272788114899406e-06,-1.0383868855922973e-05,5.264255652567058e-06,0.4
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,X,Ffull_over_FQ_mean,10,0.0020665500565680227,0.0013609510895502398,0.0027351672608460927,1.0
v2_basis,SU2-CNOT-line,12,6.0,128,2,measurement_basis,Z,X,physical_minus_rank_baseline,10,-0.00015408056386885478,-0.0003474051257477748,5.2010758372343194e-05,0.3
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,1,measurement_basis,Z,X,enhancement,10,-0.01693314687545152,-0.05697885689575413,0.020274316002475326,0.5
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,1,measurement_basis,Z,X,actual_retention,10,-0.0005312359804063319,-0.0017701600578504805,0.0006263688025658489,0.5
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,1,measurement_basis,Z,X,deff_pairwise,10,-0.20284960742679345,-2.074426834768268,1.803585298186585,0.5
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,1,measurement_basis,Z,X,pairwise_purity,10,1.4928006577680058e-05,-9.638608170353734e-05,0.00012220269966526953,0.5
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,1,measurement_basis,Z,X,Ffull_over_FQ_mean,10,-0.0007407389768532058,-0.004202197939382003,0.002352563847739292,0.5
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,1,measurement_basis,Z,X,physical_minus_rank_baseline,10,-0.00053123598040631,-0.0017942555912345219,0.0006086988426094305,0.5
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,X,enhancement,10,-0.016777352697648094,-0.03900073773924401,0.006543218690280641,0.3
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,X,actual_retention,10,-0.0023685674396679733,-0.005496402477161695,0.0008413054511279835,0.3
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,X,deff_pairwise,10,-0.20284960742679345,-2.1148134600713617,1.7627846180258597,0.5
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,X,pairwise_purity,10,1.4928006577680058e-05,-9.63587155572059e-05,0.00012258394757379572,0.5
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,X,Ffull_over_FQ_mean,10,-0.0007407389768532058,-0.004314896338095638,0.0024131370055879343,0.5
v2_basis,SU2-HaarU4-brickwork,8,6.0,128,2,measurement_basis,Z,X,physical_minus_rank_baseline,10,-0.00236856743966798,-0.005525684183296735,0.0009447586111529715,0.3
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,X,enhancement,10,-0.01808567948658355,-0.04577700081963473,0.008227263746940966,0.4
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,X,actual_retention,10,-5.299832816579e-05,-0.00013508529019392316,2.455955030750255e-05,0.4
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,X,deff_pairwise,10,0.2967028923369298,-3.8270476725922893,4.2839410761080945,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,X,pairwise_purity,10,-3.9961832181000143e-07,-1.096913122673575e-05,1.0351353462006976e-05,0.5
v2_basis,SU2-HaarU4-brickwork,12,6.0,128,1,measurement_basis,Z,X,Ffull_over_FQ_mean,10,0.0010289678238265653,0.0006615641508378195,0.0014052897651284854,1.0
