profile,family,n,depth_factor,instance,direction_sampler,measurement_basis,bitflip_rate,k,tangent_count_used,reference_tangent_count,metric,value,reference_value,relative_difference
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,64,256,enhancement,0.8775061259083653,0.954108117574721,-0.08028648981739393
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,64,256,actual_retention,0.0275296039500663,0.0299328036886186,-0.080286489817393
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,64,256,deff_pairwise,173.58360406549943,168.74188518274087,0.028693047239072646
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,64,256,pairwise_purity,0.005760912762375,0.005926210904406,-0.027892720103515862
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,64,256,Ffull_over_FQ_mean,0.4908881432962914,0.4892476978202568,0.0033529958001708763
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,128,256,enhancement,0.9026138437786844,0.954108117574721,-0.053971109612746676
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,128,256,actual_retention,0.0283172970597234,0.0299328036886186,-0.05397110961274455
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,128,256,deff_pairwise,166.92822573140666,168.74188518274087,-0.010748128417376013
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,128,256,pairwise_purity,0.0059905986277541,0.005926210904406,0.010864905820383365
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,128,256,Ffull_over_FQ_mean,0.4899905210031954,0.4892476978202568,0.0015182967364958677
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,256,256,enhancement,0.954108117574721,0.954108117574721,0.0
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,256,256,actual_retention,0.0299328036886186,0.0299328036886186,0.0
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,256,256,deff_pairwise,168.74188518274087,168.74188518274087,0.0
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,256,256,pairwise_purity,0.005926210904406,0.005926210904406,0.0
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,1,256,256,Ffull_over_FQ_mean,0.4892476978202568,0.4892476978202568,0.0
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,32,256,enhancement,0.9448860448572544,0.9784006446485886,-0.03425447435531036
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,32,256,actual_retention,0.1333956769210241,0.1381271498327419,-0.03425447435531057
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,32,256,deff_pairwise,168.52771456924424,168.74188518274087,-0.001269220225107096
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,32,256,pairwise_purity,0.0059337421299279,0.005926210904406,0.001270833192301734
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,32,256,Ffull_over_FQ_mean,0.4917847551745795,0.4892476978202568,0.005185629622021795
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,64,256,enhancement,0.9467836185973906,0.9784006446485886,-0.032315009422907576
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,64,256,actual_retention,0.1336635696843374,0.1381271498327419,-0.032315009422908186
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,64,256,deff_pairwise,173.58360406549943,168.74188518274087,0.028693047239072646
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,64,256,pairwise_purity,0.005760912762375,0.005926210904406,-0.027892720103515862
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,64,256,Ffull_over_FQ_mean,0.4908881432962914,0.4892476978202568,0.0033529958001708763
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,128,256,enhancement,0.962779854715441,0.9784006446485886,-0.015965637408955343
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,128,256,actual_retention,0.1359218618421799,0.1381271498327419,-0.01596563740895547
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,128,256,deff_pairwise,166.92822573140666,168.74188518274087,-0.010748128417376013
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,128,256,pairwise_purity,0.0059905986277541,0.005926210904406,0.010864905820383365
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,128,256,Ffull_over_FQ_mean,0.4899905210031954,0.4892476978202568,0.0015182967364958677
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,256,256,enhancement,0.9784006446485886,0.9784006446485886,0.0
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,256,256,actual_retention,0.1381271498327419,0.1381271498327419,0.0
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,256,256,deff_pairwise,168.74188518274087,168.74188518274087,0.0
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,256,256,pairwise_purity,0.005926210904406,0.005926210904406,0.0
v2_convergence,SU2-CNOT-line,8,6.0,3,gaussian,Z,0.0,2,256,256,Ffull_over_FQ_mean,0.4892476978202568,0.4892476978202568,0.0
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,32,256,enhancement,0.9347574222599552,1.0252784308305165,-0.0882891962305651
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,32,256,actual_retention,0.0293257230512927,0.0321655978299769,-0.08828919623056283
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,32,256,deff_pairwise,193.52586886167092,169.09255766694446,0.1444966681670986
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,32,256,pairwise_purity,0.0051672678483866,0.0059139208360054,-0.12625346336612983
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,32,256,Ffull_over_FQ_mean,0.4877524746483631,0.4917512248413145,-0.00813165273607972
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,64,256,enhancement,1.0167071845402629,1.0252784308305165,-0.00835992061523286
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,64,256,actual_retention,0.0318966959855768,0.0321655978299769,-0.008359920615232247
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,64,256,deff_pairwise,167.57602008364853,169.09255766694446,-0.008968683212439179
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,64,256,pairwise_purity,0.0059674409232349,0.0059139208360054,0.009049848436194264
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,64,256,Ffull_over_FQ_mean,0.4873960524111991,0.4917512248413145,-0.008856454666728684
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,128,256,enhancement,1.0572152210847667,1.0252784308305165,0.0311493827373118
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,128,256,actual_retention,0.0331675363477573,0.0321655978299769,0.031149382737312
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,128,256,deff_pairwise,164.3567245761593,169.09255766694446,-0.0280073419914385
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,128,256,pairwise_purity,0.0060843266533741,0.0059139208360054,0.028814355500200044
v2_convergence,SU2-CNOT-line,8,6.0,4,gaussian,Z,0.0,1,128,256,Ffull_over_FQ_mean,0.488007579770794,0.4917512248413145,-0.007612884079197872
