family,n,method,metric,mean,ci_low,ci_high,circuits
SU2-HaarU4-brickwork,12,random_rank,finite_difference_snr_mean,0.01466645205445766,0.014239257027181805,0.015113325187962972,16
SU2-HaarU4-brickwork,12,random_rank,finite_difference_grad2_mean,0.00011138257402644599,0.00010513540631844905,0.00011815122765021656,16
SU2-HaarU4-brickwork,12,random_rank,finite_difference_relative_error_mean,6.888145866379406e-05,6.097483429382911e-05,7.7983796298302e-05,16
U1-RZ-XY-line,8,aligned_crossfit,actual_retention,0.4935018522001363,0.48396001455929843,0.5028538107071434,20
U1-RZ-XY-line,8,aligned_crossfit,rho,4.864518257401343,4.771672546321402,4.955799868306445,20
U1-RZ-XY-line,8,aligned_crossfit,expected_scalar_directional_grad2,0.02528541873027491,0.02439667089958136,0.026209795129364017,20
U1-RZ-XY-line,8,aligned_crossfit,estimated_parameter_gradient_norm2,13.95755113911178,13.464291186893186,14.458575082541314,20
U1-RZ-XY-line,8,aligned_crossfit,linearized_fd_snr,0.22469234076751535,0.22084223566781488,0.22888655497400862,20
U1-RZ-XY-line,8,aligned_crossfit,finite_difference_snr_mean,0.21656253277703716,0.20642065789361108,0.22679702103584173,20
U1-RZ-XY-line,8,aligned_crossfit,finite_difference_grad2_mean,0.02504609286500878,0.02276311980699409,0.02748864345143309,20
U1-RZ-XY-line,8,aligned_crossfit,finite_difference_relative_error_mean,1.904694357614162e-05,1.6507081656650845e-05,2.179968673077911e-05,20
U1-RZ-XY-line,8,physical,actual_retention,0.4326143178078845,0.4216771379497941,0.4434295945453708,20
U1-RZ-XY-line,8,physical,rho,4.264341132677719,4.157196627901463,4.3708421755942535,20
U1-RZ-XY-line,8,physical,expected_scalar_directional_grad2,0.022031504963671088,0.02114588663921716,0.02292945053845622,20
U1-RZ-XY-line,8,physical,estimated_parameter_gradient_norm2,12.161390739946471,11.689845906669962,12.644790806279548,20
U1-RZ-XY-line,8,physical,linearized_fd_snr,0.2096914162990763,0.2055258657903882,0.21392169981249817,20
U1-RZ-XY-line,8,physical,finite_difference_snr_mean,0.20284368232522162,0.19181912449166466,0.21443223707038925,20
U1-RZ-XY-line,8,physical,finite_difference_grad2_mean,0.02202721993163185,0.019665222260226073,0.02458687220798724,20
U1-RZ-XY-line,8,physical,finite_difference_relative_error_mean,1.1436969223351954e-05,1.0732027436955829e-05,1.2150884419250603e-05,20
U1-RZ-XY-line,8,random_rank,actual_retention,0.10576806759282034,0.09982828210658835,0.1121252025974058,20
U1-RZ-XY-line,8,random_rank,rho,1.0425709519863724,0.9825722655348396,1.1049858396153693,20
