family,n,k,analysis_status,circuits,metric,mean,ci95_low,ci95_high
SU2-HaarU4-brickwork,6,1,exploratory_post_hoc,16,enhancement,0.9463173112702745,0.9191936974028224,0.9780667577115694
SU2-HaarU4-brickwork,6,1,exploratory_post_hoc,16,orientation_growth_ratio,0.10259123978723174,0.0802226417347543,0.12583258548011236
SU2-HaarU4-brickwork,6,1,exploratory_post_hoc,16,population_orientation_z,-1.2196980933306003,-1.8500315505417417,-0.5035490878314917
SU2-HaarU4-brickwork,6,1,exploratory_post_hoc,16,r_times_deff,267.9412344285589,264.91036644069766,271.2333374731892
SU2-HaarU4-brickwork,6,2,exploratory_post_hoc,16,enhancement,0.9826203311424347,0.9681974430734142,0.9982394488874058
SU2-HaarU4-brickwork,6,2,exploratory_post_hoc,16,orientation_growth_ratio,0.050535927367546314,0.03746444851981943,0.06355356772456913
SU2-HaarU4-brickwork,6,2,exploratory_post_hoc,16,population_orientation_z,-0.8897306131914837,-1.6015808717393816,-0.11891195309237075
SU2-HaarU4-brickwork,6,2,exploratory_post_hoc,16,r_times_deff,937.794320499956,926.9837042480244,949.0907253545022
SU2-HaarU4-brickwork,8,1,exploratory_post_hoc,16,enhancement,0.9251479797610935,0.895875514113003,0.9547393392227348
SU2-HaarU4-brickwork,8,1,exploratory_post_hoc,16,orientation_growth_ratio,0.08460905891956888,0.05900364185804044,0.11104969110909294
SU2-HaarU4-brickwork,8,1,exploratory_post_hoc,16,population_orientation_z,-2.5621597426022555,-3.5525156785504253,-1.519958579391161
SU2-HaarU4-brickwork,8,1,exploratory_post_hoc,16,r_times_deff,1066.6303103122261,1053.6524896025821,1078.7347849600483
SU2-HaarU4-brickwork,8,2,exploratory_post_hoc,16,enhancement,0.9653300538853926,0.9567740165790715,0.9737116573167451
SU2-HaarU4-brickwork,8,2,exploratory_post_hoc,16,orientation_growth_ratio,0.038392905953528296,0.029129798037719864,0.04774025464581024
SU2-HaarU4-brickwork,8,2,exploratory_post_hoc,16,population_orientation_z,-2.6608929515648336,-3.31552900754931,-2.0090867237054963
SU2-HaarU4-brickwork,8,2,exploratory_post_hoc,16,r_times_deff,4799.836396405017,4743.955493104168,4856.455666373492
SU2-HaarU4-brickwork,10,1,exploratory_post_hoc,16,enhancement,0.9331164529451954,0.9168828476183474,0.949379655456983
SU2-HaarU4-brickwork,10,1,exploratory_post_hoc,16,orientation_growth_ratio,0.05750765092372592,0.043397611518884875,0.07154590221979164
SU2-HaarU4-brickwork,10,1,exploratory_post_hoc,16,population_orientation_z,-3.2709630167592176,-4.087801589781804,-2.470725919377766
SU2-HaarU4-brickwork,10,1,exploratory_post_hoc,16,r_times_deff,3238.162784763842,3192.9304632894896,3282.163814399785
SU2-HaarU4-brickwork,10,2,exploratory_post_hoc,16,enhancement,0.9615704422572297,0.9528079099389631,0.9694514821439992
SU2-HaarU4-brickwork,10,2,exploratory_post_hoc,16,orientation_growth_ratio,0.03381332205499478,0.02685355155548016,0.041584347875736796
SU2-HaarU4-brickwork,10,2,exploratory_post_hoc,16,population_orientation_z,-4.513613370183482,-5.56141985914534,-3.5680462029008093
SU2-HaarU4-brickwork,10,2,exploratory_post_hoc,16,r_times_deff,17809.89531620113,17563.006830816892,18052.6135636898
SU2-HaarU4-brickwork,12,1,exploratory_post_hoc,16,enhancement,0.9245051915885494,0.8999818798115325,0.9491947411148415
SU2-HaarU4-brickwork,12,1,exploratory_post_hoc,16,orientation_growth_ratio,0.05893705537038056,0.040863462046993725,0.0770359618140082
SU2-HaarU4-brickwork,12,1,exploratory_post_hoc,16,population_orientation_z,-5.002414373505884,-6.6639340099834135,-3.3397401636733273
SU2-HaarU4-brickwork,12,1,exploratory_post_hoc,16,r_times_deff,7427.571719640646,7350.976575588287,7505.329597193212
SU2-HaarU4-brickwork,12,2,exploratory_post_hoc,16,enhancement,0.9568905141863809,0.9522473543375629,0.9617735187605773
SU2-HaarU4-brickwork,12,2,exploratory_post_hoc,16,orientation_growth_ratio,0.03341477909288032,0.02958422486590016,0.03696910046639801
SU2-HaarU4-brickwork,12,2,exploratory_post_hoc,16,population_orientation_z,-7.347939347357176,-8.132436790700527,-6.487311835709697
SU2-HaarU4-brickwork,12,2,exploratory_post_hoc,16,r_times_deff,48279.2161776642,47789.58347243556,48778.91564771661
SU2-HaarU4-brickwork,14,1,exploratory_post_hoc,12,enhancement,0.9300123611598439,0.9093451999470201,0.9519584255490474
SU2-HaarU4-brickwork,14,1,exploratory_post_hoc,12,orientation_growth_ratio,0.05240199436519686,0.03851228253641337,0.06588745030368144
SU2-HaarU4-brickwork,14,1,exploratory_post_hoc,12,population_orientation_z,-5.963951743623848,-7.737807755606029,-4.0912175077051005
SU2-HaarU4-brickwork,14,1,exploratory_post_hoc,12,r_times_deff,13616.316166430914,13426.216293367645,13810.830567796122
SU2-HaarU4-brickwork,14,2,exploratory_post_hoc,12,enhancement,0.9574997645062958,0.9490707695122241,0.9652564956457059
SU2-HaarU4-brickwork,14,2,exploratory_post_hoc,12,orientation_growth_ratio,0.031090022828181674,0.025310791222130674,0.03717519296804709
SU2-HaarU4-brickwork,14,2,exploratory_post_hoc,12,population_orientation_z,-9.951139060611618,-11.966019249055956,-8.11614466861351
SU2-HaarU4-brickwork,14,2,exploratory_post_hoc,12,r_times_deff,102122.37124823184,100664.1145126113,103532.08617679893
SU2-HaarU4-brickwork,16,1,exploratory_post_hoc,12,enhancement,0.9267109118333674,0.9060053156973712,0.9456790320669336
SU2-HaarU4-brickwork,16,1,exploratory_post_hoc,12,orientation_growth_ratio,0.05237255955138409,0.03877693460779024,0.06685108532227733
SU2-HaarU4-brickwork,16,1,exploratory_post_hoc,12,population_orientation_z,-7.69948811984393,-9.862279188065434,-5.656022150048475
SU2-HaarU4-brickwork,16,1,exploratory_post_hoc,12,r_times_deff,21611.942730057264,21358.39715702428,21867.98767106246
SU2-HaarU4-brickwork,16,2,exploratory_post_hoc,12,enhancement,0.9511742275097905,0.9438908770395056,0.9583984468789888
SU2-HaarU4-brickwork,16,2,exploratory_post_hoc,12,orientation_growth_ratio,0.0349223660848178,0.02975553755776727,0.040089815958321916
SU2-HaarU4-brickwork,16,2,exploratory_post_hoc,12,population_orientation_z,-14.955161763392072,-17.149392700116962,-12.783494158248127
SU2-HaarU4-brickwork,16,2,exploratory_post_hoc,12,r_times_deff,183701.51320548673,181570.64454247642,185880.863658561
SU2-HaarU4-brickwork,18,1,exploratory_post_hoc,12,enhancement,0.9292457387753762,0.909699975815543,0.9500298104694325
